   GoodVibes v3.1.1 2022/08/08 11:23:15
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.1.1 DOI: 10.12688/f1000research.22758.1

o  Requested: 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for wB97XD/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure                                           E        ZPE             H        T.S     T.qh-S          G(T)       qh-G(T)
   ********************************************************************************************************************************
o  Int_III_Ph_a                             -1415.767800   0.418564  -1415.324162   0.081197   0.075751  -1415.405359  -1415.399913
o  Int_III_Py_a                             -1415.765251   0.418693  -1415.321477   0.082073   0.076169  -1415.403549  -1415.397645
o  Int_III_Py_b                             -1415.766283   0.417841  -1415.323113   0.082598   0.076529  -1415.405711  -1415.399641
o  Int_II_Ph_a                              -1415.730395   0.418574  -1415.287289   0.078304   0.073896  -1415.365593  -1415.361186
o  Int_II_Py_a                              -1415.739754   0.418595  -1415.296612   0.079481   0.074497  -1415.376093  -1415.371109
o  Int_II_Py_b                              -1415.742543   0.418177  -1415.300422   0.077424   0.072901  -1415.377846  -1415.373323
o  Int_II_Py_c                              -1415.740873   0.418274  -1415.297743   0.080926   0.075399  -1415.378669  -1415.373143
o  Int_I_Ph_a                               -1415.708399   0.419425  -1415.264852   0.076431   0.072870  -1415.341283  -1415.337721
o  Int_I_Ph_b                               -1415.706755   0.419581  -1415.263013   0.076729   0.073044  -1415.339741  -1415.336056
o  Int_I_Ph_c                               -1415.689310   0.418363  -1415.246382   0.079216   0.074415  -1415.325598  -1415.320797
o  Int_I_Py_a                               -1415.715045   0.419114  -1415.271610   0.077746   0.073605  -1415.349356  -1415.345215
o  Int_I_Py_b                               -1415.711031   0.419045  -1415.267713   0.076884   0.073217  -1415.344596  -1415.340929
o  Int_I_Py_c                               -1415.713255   0.418916  -1415.269974   0.077701   0.073508  -1415.347675  -1415.343483
o  Int_I_Py_d                               -1415.698106   0.418680  -1415.254939   0.078399   0.073911  -1415.333338  -1415.328850
o  Int_I_Py_e                               -1415.697383   0.418818  -1415.254065   0.078873   0.074046  -1415.332937  -1415.328111
o  Int_I_Py_f                               -1415.706212   0.419258  -1415.262679   0.077292   0.073273  -1415.339970  -1415.335952
o  TS_1_Ph_a                                -1415.670386   0.417010  -1415.229254   0.076711   0.073083  -1415.305965  -1415.302337
o  TS_1_Ph_b                                -1415.661334   0.416101  -1415.220746   0.078597   0.074141  -1415.299343  -1415.294887
o  TS_1_Py_a                                -1415.682140   0.417530  -1415.240509   0.076635   0.072978  -1415.317144  -1415.313487
o  TS_1_Py_b                                -1415.686916   0.417186  -1415.245455   0.077484   0.073524  -1415.322940  -1415.318980
o  TS_1_Py_c                                -1415.681170   0.416331  -1415.240195   0.079187   0.074431  -1415.319382  -1415.314627
o  TS_II_Ph_a                               -1415.727262   0.417335  -1415.285713   0.077859   0.073474  -1415.363572  -1415.359188
o  TS_II_Py_a                               -1415.734212   0.417525  -1415.292384   0.078576   0.073896  -1415.370960  -1415.366280
o  TS_II_Py_b                               -1415.731725   0.418091  -1415.289589   0.077334   0.073208  -1415.366923  -1415.362797
   ********************************************************************************************************************************
