   GoodVibes v3.1.1 2022/08/08 14:27:31
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.1.1 DOI: 10.12688/f1000research.22758.1

o  Requested: --spc DLPNO 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for wB97XD/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964

   Combining final single point energy with thermal corrections.

   Structure                                       E_SPC             E        ZPE         H_SPC        T.S     T.qh-S      G(T)_SPC   qh-G(T)_SPC
   **********************************************************************************************************************************************
o  Int_III_Ph_a                             -1414.272460  -1415.767800   0.418564  -1413.828823   0.081197   0.075751  -1413.910019  -1413.904573
o  Int_III_Py_a                             -1414.269254  -1415.765251   0.418693  -1413.825480   0.082073   0.076169  -1413.907553  -1413.901649
o  Int_III_Py_b                             -1414.270115  -1415.766283   0.417841  -1413.826944   0.082598   0.076529  -1413.909543  -1413.903473
o  Int_II_Ph_a                              -1414.238513  -1415.730395   0.418574  -1413.795407   0.078304   0.073896  -1413.873710  -1413.869303
o  Int_II_Py_a                              -1414.248486  -1415.739754   0.418595  -1413.805343   0.079481   0.074497  -1413.884825  -1413.879841
o  Int_II_Py_b                              -1414.251141  -1415.742543   0.418177  -1413.809020   0.077424   0.072901  -1413.886444  -1413.881921
o  Int_II_Py_c                              -1414.250426  -1415.740873   0.418274  -1413.807297   0.080926   0.075399  -1413.888222  -1413.882696
o  Int_I_Ph_a                               -1414.219198  -1415.708399   0.419425  -1413.775651   0.076431   0.072870  -1413.852082  -1413.848521
o  Int_I_Ph_b                               -1414.218356  -1415.706755   0.419581  -1413.774614   0.076729   0.073044  -1413.851343  -1413.847657
o  Int_I_Ph_c                               -1414.203378  -1415.689310   0.418363  -1413.760450   0.079216   0.074415  -1413.839666  -1413.834865
o  Int_I_Py_a                               -1414.223227  -1415.715045   0.419114  -1413.779792   0.077746   0.073605  -1413.857537  -1413.853396
o  Int_I_Py_b                               -1414.223209  -1415.711031   0.419045  -1413.779891   0.076884   0.073217  -1413.856774  -1413.853107
o  Int_I_Py_c                               -1414.211964  -1415.713255   0.418916  -1413.768684   0.077701   0.073508  -1413.846385  -1413.842192
o  Int_I_Py_d                               -1414.213688  -1415.698106   0.418680  -1413.770521   0.078399   0.073911  -1413.848920  -1413.844432
o  Int_I_Py_e                               -1414.212305  -1415.697383   0.418818  -1413.768987   0.078873   0.074046  -1413.847859  -1413.843033
o  Int_I_Py_f                               -1414.220429  -1415.706212   0.419258  -1413.776895   0.077292   0.073273  -1413.854187  -1413.850169
o  TS_1_Ph_a                                -1414.181410  -1415.670386   0.417010  -1413.740279   0.076711   0.073083  -1413.816990  -1413.813361
o  TS_1_Ph_b                                -1414.173224  -1415.661334   0.416101  -1413.732636   0.078597   0.074141  -1413.811233  -1413.806777
o  TS_1_Py_a                                -1414.194715  -1415.682140   0.417530  -1413.753084   0.076635   0.072978  -1413.829719  -1413.826063
o  TS_1_Py_b                                -1414.199208  -1415.686916   0.417186  -1413.757747   0.077484   0.073524  -1413.835232  -1413.831272
o  TS_1_Py_c                                -1414.192702  -1415.681170   0.416331  -1413.751727   0.079187   0.074431  -1413.830914  -1413.826158
o  TS_II_Ph_a                               -1414.231879  -1415.727262   0.417335  -1413.790330   0.077859   0.073474  -1413.868189  -1413.863805
o  TS_II_Py_a                               -1414.238504  -1415.734212   0.417525  -1413.796676   0.078576   0.073896  -1413.875252  -1413.870572
o  TS_II_Py_b                               -1414.235758  -1415.731725   0.418091  -1413.793622   0.077334   0.073208  -1413.870956  -1413.866831
   **********************************************************************************************************************************************
