code_name,Molecule,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
mol_826,5-Ethyl-5-isopropylbarbituric acid,-1.603,1,198.222,2,1,2,75.27,-2.148,O=C1NC(=O)NC(=O)C1(CC)C(C)C
mol_827,"1,1,1-Trichloroethane",-2.232,1,133.405,0,0,0,0,-2,CC(Cl)(Cl)Cl
mol_828,Monolinuron,-2.948,1,214.652,1,1,2,41.57,-2.57,CON(C)C(=O)Nc1ccc(Cl)cc1
mol_829,Cyclohexyl-5-spirobarbituric acid,-1.405,1,196.206,2,2,0,75.27,-3.06,O=C2NC(=O)C1(CCCCC1)C(=O)N2
mol_830,dimetan,-2.304,1,211.261,0,1,1,46.61,-0.85,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 
mol_831,4-Bromotoluene,-3.667,1,171.037,0,1,0,0,-3.19,Cc1ccc(Br)cc1
mol_832,Diethyl ether ,-0.718,1,74.123,0,0,2,9.23,-0.09,CCOCC
mol_833,Rovral,-4.004,1,330.171,1,2,2,69.72,-4.376,CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2
mol_834,Benfluralin,-5.205,1,335.282,0,1,7,89.52,-5.53,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
mol_835,"2,4,6-Trimethylphenol",-2.941,1,136.194,1,1,0,20.23,-2.05,Cc1cc(C)c(O)c(C)c1
mol_836,Benzene ,-2.418,2,78.114,0,1,0,0,-1.64,c1ccccc1
mol_837,p-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0,-4.03,Clc1ccc(I)cc1
mol_838,Metoxuron,-2.683,1,228.679,1,1,2,41.57,-2.564,COc1ccc(NC(=O)N(C)C)cc1Cl
mol_839,propachlor,-3.018,1,211.692,0,1,3,20.31,-2.48,CC(C)N(C(=O)CCl)c1ccccc1 
mol_840,Styrene,-2.85,1,104.152,0,1,1,0,-2.82,C=Cc1ccccc1
mol_841,Dimethoxymethane,0.092,1,76.095,0,0,2,18.46,0.48,COCOC
mol_842,o-Xylene ,-3.004,1,106.168,0,1,0,0,-2.8,Cc1ccccc1C
mol_843,Butan-2-ol,-0.616,1,74.123,1,0,1,20.23,0.47,CCC(C)O
mol_844,"1,4-Benzenediol",-1.59,1,110.112,2,1,0,40.46,-0.17,Oc1ccc(O)cc1
mol_845,estriol,-3.858,1,288.387,3,4,0,60.69,-4.955,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O 
mol_846,Benzo(b)fluorene,-5.189,2,216.283,0,4,0,0,-8.04,C1c2ccccc2c3cc4ccccc4cc13
mol_847,hydantoin,0.603,1,100.077,2,1,0,58.2,-0.4,O=C1CNC(=O)N1 
mol_848,4-hexylresorcinol,-3.493,1,194.274,2,1,5,40.46,-2.59,c1(O)cc(O)ccc1CCCCCC
mol_849,allicin,-2.045,1,162.279,0,0,5,17.07,-0.83,C=CCS(=O)SCC=C
mol_850,Coumaphos,-5.04,1,362.771,0,2,6,57.9,-5.382,CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2
mol_851,"5,6-Dimethylchrysene",-6.265,1,256.348,0,4,0,0,-7.01,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
mol_852,Betamethasone-17-valerate,-5.062,1,476.585,2,4,6,100.9,-4.71,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO
mol_853,uric acid,-0.541,1,168.112,4,2,0,114.37,-3.93,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 
mol_854,"2,3,4,6-Tetrachlorophenol",-4.203,1,231.893,1,1,0,20.23,-3.1,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
mol_855,"1,3-Dichlorobenzene",-3.558,1,147.004,0,1,0,0,-3.04,Clc1cccc(Cl)c1
mol_856,DDT,-6.638,1,354.491,0,2,2,0,-7.15,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
mol_857,Isobutyl formate,-1.095,1,102.133,0,0,3,26.3,-1.01,CC(C)COC=O
mol_858,thioanisole,-2.87,1,124.208,0,1,1,0,-2.39,c1ccccc1SC
mol_859,RTI 13,-4.45,1,322.29,1,3,1,58.12,-4.207,CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 
mol_860,Hexane ,-2.615,1,86.178,0,0,3,0,-3.84,CCCCCC
mol_861,methyl nicotinate,-1.621,1,137.138,0,1,1,39.19,-0.46,COC(=O)c1cccnc1 
mol_862,Bendroflumethiazide,-3.741,1,421.422,3,3,3,118.36,-3.59,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F
mol_863,"2,3,3',4,4',5-PCB",-7.425,1,360.882,0,2,1,0,-7.82,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl 
mol_864,Vinclozolin,-4.377,1,286.114,0,2,2,46.61,-4.925,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C
mol_865,Cyanazine,-2.49,1,240.698,2,1,4,86.52,-3.15,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
mol_866,Triphenylene,-5.568,2,228.294,0,4,0,0,-6.726,c1ccc2c(c1)c3ccccc3c4ccccc24
mol_867,Dienestrol,-4.775,1,266.34,2,2,3,40.46,-4.95,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2
mol_868,Di(2-ethylhexyl)-phthalate,-7.117,1,390.564,0,1,14,52.6,-6.96,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
mol_869,2-Ethyl pyridine,-2.051,1,107.156,0,1,1,12.89,0.51,CCc1ccccn1
mol_870,Naled,-3.548,1,380.784,0,0,5,44.76,-2.28,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
mol_871,Biphenyl,-4.079,2,154.212,0,2,1,0,-4.345,c1ccc(cc1)c2ccccc2
mol_872,"2,2',4,4',6,6'-PCB",-7.179,1,360.882,0,2,1,0,-8.71,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl 
mol_873,Altretamine,-2.492,1,210.285,0,1,3,48.39,-3.364,CN(C)c1nc(nc(n1)N(C)C)N(C)C
mol_874,"2,4-Dimethyl-2-pentanol ",-1.647,1,116.204,1,0,2,20.23,-0.92,CC(C)CC(C)(C)O
mol_875,Cycloheptyl-5-spirobarbituric acid,-1.844,1,210.233,2,2,0,75.27,-3.168,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 
mol_876,Fructose,0.471,1,180.156,5,1,2,110.38,0.64,OCC1OC(O)(CO)C(O)C1O
mol_877,"3,5-Dimethylphenol",-2.652,1,122.167,1,1,0,20.23,-1.4,Cc1cc(C)cc(O)c1
mol_878,Barban,-4.16,1,258.104,1,1,2,38.33,-4.37,ClCC#CCOC(=O)Nc1cccc(Cl)c1
